year,status,track,place,team,prize_text,prize_amount_usd,project,members,follow_on
2025,complete,Beall,1st,NasoCoustics,"$10,000",10000,"A portable nasometry device for clinicians to measure hypernasality in children with cleft palate, post-surgery.",Dave Soliven; Jordan Ulibarri; Kenji Inducta; Natalie Benneian; Neha Muvvala; Neharika Gopikrishnan,"Also won the 2025 Stella Zhang NVC Life Sciences 1st place - same-year BBComp + NVC double win."
2025,complete,Beall,2nd,VeinGuard,"$6,500",6500,An emergency cervical collar that protects the cervical spine without compressing the jugular veins.,Bora Keresteci; Erfan Khoshnevis; Rohan Kunduru; Sujal Bobba; Varu Vummidi,
2025,complete,Beall,3rd,REACH,"$3,500",3500,An ML-powered electrotherapy device for stroke survivors that uses surface EMG to drive personalized rehabilitation.,Andrew Eck; Edmund Totah; HyungCheol Kim; Michael Song; Nathan Yang; Tim Oh,
2025,complete,Butterworth,1st,Florence,"$10,000",10000,"Intelligent real-time patient monitoring and alert system built around a comprehensive camera dashboard and integrated data systems, designed to optimize the efficiency and responsiveness of hospital nursing staff.",Andrew Cai; Audrey Lu; Nathan Che; Yurina Tamura,
2025,complete,Butterworth,2nd,AINGELX,"$6,500",6500,"A personalized advisor that matches SaaS startups to investors based on due-diligence-level data, making the screening process more efficient.",Asal Askari; Kimia Yazdani; Mehrnaz Motamed,
2025,complete,Butterworth,3rd,Vision Board,"$3,500",3500,A technology that merges the worlds of board games and video games to create a new immersive sensory experience.,Derek Yazan; Ethan Frias; Lukas Hauge,
2025,complete,International Collaboration,1st,Oslo (Birdhouse by Oslo),Not Listed,,Contact-free thermal and optical vital-sign monitoring for senior-care facilities.,"UCI: Alison Iversen, Jose Callejas, Joseph Marquez, Kanu Chandra; PUCRS: Ana Carolina Palhares Poletto, Bárbara da Silva Dapper, Luiza Dal Mas Pasini",
2024,complete,Beall,1st,NeoMold,"$10,000",10000,"A customizable, 3D-printable ear mold designed to correct newborn outer-ear deformities within 2-6 weeks of birth.",Christine Ly; Christine Nguyen; Frida Sandoval; Kathy Duong,Reached 2024 Stella Zhang NVC top 10 of 125 teams (400+ applicants); placed top 2 in the Life Sciences track. Christine Ly graduated UCI BME June 2024 and joined the USC BioMEMS lab as a PhD student in August 2024.
2024,complete,Beall,2nd,Instinct,"$6,500",6500,A microfluidic chip that mimics brain function for neurological drug testing.,Edouard Aleman; Jay Tong; Milan Das; Nathaniel Green; Winston Doud,
2024,complete,Beall,3rd,PetPointDx,"$3,500",3500,At-home pet fecal testing kits that ship to a partner lab for analysis.,Lawrence Kulinsky; Luke Chavez; Will Janlaor; Zarya Rajestari,
2024,complete,Brazilian Collaboration,Winner,Cartello,Not Listed,,A B2B marketplace for corrugated cardboard pallets that streamlines the pallet procurement process.,"UCI: Ariel Tjandra, Ariya Gowda, Felix Toffaneto Werner; PUCRS: Pedro Vaz Lorea, Thiago Borges de Souza",
2024,complete,Butterworth,1st,Sentinel,"$10,000",10000,"The first driver-conscious AI safety system to detect fatigue and distraction. Targets vehicle fleets with high operator liability (e.g., trucking).",Cody He; Kevin Wu; Kyle Deck; Michael Ross; Natán Ampudia; Spike O'Carroll,"Won 2024 UCI Stella Zhang NVC Grand Finale ($20K + $10K track) + placed 2nd in C&C Innovative Solutions SoCal Super Pitch. Spotter AI public commercial launch February 17, 2026 as flagship hiring/screening/compliance platform (claims 75% cost reduction); March 31, 2026 expansion added digital driver application. President Gabriel Stonys; sentinel.spotter.ai. Co-founder Spike O'Carroll now Software Engineer at SpaceX (Starlink payments); Kevin Wu previously Stripe/Mercury; Kyle Deck UCI Rocket Project Liquids PM (MOCH4 May 2025)."
2024,complete,Butterworth,2nd,Two Cube,"$6,500",6500,An autonomous bioinformatics analysis platform that runs single-cell RNA pipelines without manual setup. Uses Large Language Models for scRNA code generation and analysis ('the autonomous bioinformatician').,Dylan Riffle; Shushrruth Sai Srinivasan,"Won 1st place + $10,000 in the Stella Zhang NVC 2024 Life Science track. Co-founder Shushrruth Sai Srinivasan is a PhD student in CS at UCI; presented at the 2025 Health Care Forecast Conference."
2024,complete,Butterworth,3rd,Biru,"$3,500",3500,A maid- and household-help-matching platform tailored to the Indonesian market.,Jessica Hardisurjo; Kevin Salim; Nicholas Chairnando; Pierre Theodorus; William Hartono,
